iter	Passed	Remaining
917	4017	358
918	4022	354
919	4027	350
920	4030	345
921	4036	341
922	4042	337
923	4047	332
924	4052	328
925	4056	324
926	4061	319
927	4066	315
928	4071	311
929	4076	306
930	4080	302
931	4085	298
932	4089	293
933	4093	289
934	4098	284
935	4102	280
936	4106	276
937	4111	271
938	4115	267
939	4119	262
940	4124	258
941	4128	254
942	4133	249
943	4138	245
944	4142	241
945	4147	236
946	4151	232
947	4156	227
948	4160	223
949	4164	219
950	4169	214
951	4173	210
952	4177	206
953	4181	201
954	4186	197
955	4190	192
956	4194	188
957	4199	184
958	4203	179
959	4207	175
960	4212	170
961	4217	166
962	4221	162
963	4225	157
964	4229	153
965	4233	149
966	4237	144
967	4242	140
968	4247	135
969	4251	131
970	4256	127
971	4260	122
972	4265	118
973	4269	113
974	4273	109
975	4278	105
976	4282	100
977	4286	96
978	4291	92
979	4295	87
980	4300	83
981	4304	78
982	4309	74
983	4313	70
984	4317	65
985	4321	61
986	4325	56
987	4330	52
988	4334	48
989	4339	43
990	4343	39
991	4348	35
992	4352	30
993	4356	26
994	4361	21
995	4365	17
996	4370	13
997	4374	8
998	4379	4
999	4383	0
