iter	Logloss
351	0.1963165638
352	0.1958495739
353	0.1952734215
354	0.1949168804
355	0.1945167364
356	0.1941653407
357	0.1936882374
358	0.1932446014
359	0.1927955317
360	0.1923616099
361	0.1919042454
362	0.1913738029
363	0.1909848147
364	0.1905032979
365	0.1901628139
366	0.1897971131
367	0.1893506383
368	0.1889714751
369	0.188380441
370	0.1879177537
371	0.1874302265
372	0.1870518618
373	0.1868326941
374	0.1862796961
375	0.1857952628
376	0.1853867464
377	0.1850231193
378	0.1848457469
379	0.184458289
380	0.1840834729
381	0.1838110103
382	0.183304831
383	0.1828680926
384	0.182403875
385	0.1820880979
386	0.1817552988
387	0.181352571
388	0.1810632196
389	0.1805619306
390	0.1801727872
391	0.1798173328
392	0.1794019743
393	0.1790075857
394	0.1787132441
395	0.1783543298
396	0.17793234
397	0.1776613413
398	0.177473157
399	0.1770606595
400	0.1767016455
401	0.1763274282
402	0.1759602192
403	0.175534082
404	0.1752452629
405	0.1749505553
406	0.1746469098
407	0.1743272404
408	0.1740777104
409	0.1736954534
410	0.1733527516
411	0.1730058581
412	0.1726142972
413	0.1721961775
414	0.1717688649
415	0.1715022353
416	0.1711193129
417	0.1708404186
418	0.1704350627
419	0.170222859
420	0.1698174809
421	0.1696006642
422	0.1693159148
423	0.1690641891
424	0.1687501863
425	0.1684130735
426	0.1680218896
427	0.1677754868
428	0.1674240911
429	0.1670701116
430	0.1668878156
431	0.1664871171
432	0.1662893517
433	0.1660517316
434	0.1657626573
435	0.165474315
436	0.1652261712
437	0.1649497054
438	0.1646088445
439	0.1641137544
440	0.1637594534
441	0.1633802237
442	0.1631625974
443	0.1628606708
444	0.1624550487
445	0.1620919871
446	0.1616792457
447	0.1613813334
448	0.1610252247
449	0.1608145182
450	0.1604701752
451	0.1602870586
452	0.1600774832
453	0.1598280308
454	0.1596389039
455	0.1592444265
456	0.1589098864
457	0.1585793384
458	0.1583602927
459	0.1580605618
460	0.1578936799
461	0.1575398778
462	0.1573376766
463	0.1569319326
464	0.1565373221
465	0.1562344085
466	0.155904903
467	0.1556266408
468	0.1553596452
469	0.1551338462
470	0.1548278498
471	0.1544800692
472	0.1542367492
473	0.1539032847
474	0.1535352884
475	0.1531134206
476	0.1527159935
477	0.1523764411
478	0.1521775334
479	0.1519948161
480	0.151608955
481	0.1513272219
482	0.1509455082
483	0.150673334
484	0.1503886511
485	0.1501478594
486	0.1500505847
487	0.1499338815
488	0.1497395981
489	0.1495380513
490	0.1492251463
491	0.1489806508
492	0.1487752892
493	0.1484620516
494	0.1480627836
495	0.1477419609
496	0.1476709565
497	0.1475019566
498	0.1472500868
499	0.147028302
500	0.1468013276
501	0.1466443151
502	0.1464029356
503	0.1461147597
504	0.1459121039
505	0.1455958721
506	0.1454343796
507	0.1450493835
508	0.144782643
509	0.1446271941
510	0.1443655768
511	0.1441126313
512	0.1438966795
513	0.1436059087
514	0.143326216
515	0.1430628355
516	0.1428210236
517	0.1425999486
518	0.1424646378
519	0.1422097295
520	0.1419194798
521	0.1416609454
522	0.1414383955
523	0.1412036807
524	0.1410059153
525	0.1407996998
526	0.140643519
527	0.1404654481
528	0.1401863098
529	0.1398902937
530	0.1397350888
531	0.1394467576
532	0.1392400209
533	0.1389901361
534	0.138727044
535	0.1384764827
536	0.1381754764
537	0.1378786619
538	0.1377441273
539	0.1374849608
540	0.137329035
541	0.1370687707
542	0.1368078187
543	0.1364495921
544	0.1360855546
545	0.135767482
546	0.1354803706
547	0.1352378379
548	0.1349866335
549	0.1347320468
550	0.1344657277
551	0.1342142016
552	0.1339141934
553	0.1337569924
554	0.1335634409
555	0.1333941083
556	0.133110246
557	0.1328794235
558	0.132671833
559	0.1324482851
560	0.1322385655
561	0.1320371739
562	0.131797724
563	0.1316439385
564	0.1314411385
565	0.1312073441
566	0.1309763221
567	0.1307628543
568	0.1305406593
569	0.1303126313
570	0.1301066266
571	0.1299027731
572	0.129670498
573	0.1294382228
574	0.1291550925
575	0.1289094326
576	0.1287865528
577	0.1285924135
578	0.1283783247
579	0.1281124936
580	0.1278285426
581	0.1277178498
582	0.1275351325
583	0.1272916572
584	0.1270947567
585	0.126993268
586	0.1268377526
587	0.1265873133
588	0.1263209166
589	0.1260382408
590	0.1257751709
591	0.1256827754
592	0.1254506998
593	0.1252007484
594	0.1249469713
595	0.1246778133
596	0.124610169
597	0.1244465806
598	0.1241848192
599	0.1239377066
600	0.1237707803
601	0.1235209398
602	0.1232855154
603	0.1230925959
604	0.1229211785
605	0.1227415661
606	0.1225416716
607	0.1223535094
608	0.1221940129
609	0.1219474105
610	0.1216961284
611	0.1215012683
612	0.1213784661
613	0.1212186148
614	0.1209615441
615	0.1207466569
616	0.120594446
617	0.120371375
618	0.1201665679
619	0.1199640008
620	0.1197504443
621	0.1196307027
622	0.1194619467
623	0.1192966506
624	0.1190962237
625	0.1188722877
626	0.1186825508
627	0.118423351
628	0.1182783038
629	0.118068562
630	0.1178991739
631	0.1176909291
632	0.1174488289
633	0.1173229661
634	0.1172366142
635	0.1169949798
636	0.1167857259
637	0.1166044612
638	0.1164869929
639	0.1163548314
640	0.1162116361
641	0.1160933029
642	0.1159456608
643	0.1157656603
644	0.1155051741
645	0.1153191633
646	0.1150668721
647	0.1148978499
648	0.1146737032
649	0.1145325594
650	0.1143988898
651	0.1142366764
652	0.1140082714
653	0.1138141765
654	0.1137326928
655	0.1136054993
656	0.1134713195
657	0.1133322605
658	0.1132424599
659	0.1130884304
660	0.1129314733
661	0.1127280967
662	0.1125548939
663	0.1123740174
664	0.1122468239
665	0.1120698175
666	0.1118891849
667	0.1115881898
668	0.1114096087
669	0.1111303374
670	0.1109707744
671	0.1108383134
672	0.1106749912
673	0.1104880488
674	0.1103225974
675	0.1101990411
676	0.1100937045
677	0.1099645038
678	0.1097962135
679	0.1097077769
680	0.1095110649
681	0.1093973559
682	0.1092167788
683	0.1090621616
684	0.1089719174
685	0.1087917616
686	0.1086832756
687	0.1084743544
688	0.1083469613
689	0.1081598415
690	0.1080229338
691	0.1078692037
692	0.1076627997
693	0.1074456281
694	0.1073607733
695	0.1072244755
696	0.1070633156
697	0.1069174922
698	0.1067088815
699	0.1065134226
700	0.1063577519
701	0.1062401616
702	0.1060983525
703	0.1059551017
704	0.1057780621
705	0.105697898
706	0.1055247396
707	0.10534821
708	0.105185043
709	0.105009201
710	0.1048714283
711	0.104790244
712	0.1046696929
713	0.1045367441
714	0.1044486844
715	0.104348349
716	0.1041559175
717	0.1039505005
718	0.1038410497
719	0.1036150733
720	0.1033745145
721	0.103255405
722	0.1030739851
723	0.1029196229
724	0.1027033828
725	0.102592069
726	0.1025105853
727	0.1023240311
728	0.1021805031
729	0.1020955596
730	0.1019349653
731	0.1017941874
732	0.1016179905
733	0.1014727326
734	0.1013403826
735	0.1012189555
736	0.1011388468
737	0.1009907168
738	0.1008299894
739	0.1006355064
740	0.1004957931
741	0.1003595286
742	0.1001869135
743	0.1000339264
744	0.09987498439
745	0.09974367674
746	0.09959049003
747	0.09943580627
748	0.09928224253
749	0.09911648063
750	0.09896971459
751	0.09879509238
752	0.09866187739
753	0.09853675754
754	0.09839268618
755	0.09823824639
756	0.09807892733
757	0.09791305453
758	0.09772875143
759	0.09756184733
760	0.09741056797
761	0.09729545061
762	0.09720272242
763	0.0970667462
764	0.09693338705
765	0.0968152645
766	0.09669859465
767	0.09653796706
768	0.09643658926
769	0.0963014891
770	0.09616239681
771	0.09607585641
772	0.09591867757
773	0.09570443353
774	0.09562536728
775	0.09545948339
776	0.09529989819
777	0.09522349335
778	0.09506171249
779	0.09491392624
780	0.09475703572
781	0.09467722649
782	0.09448279891
783	0.09435449645
784	0.09416361742
785	0.09405288031
786	0.09390509406
787	0.09373733609
788	0.09364175797
789	0.0935060368
790	0.09335872739
791	0.09323499369
792	0.09306062654
793	0.09287061802
794	0.0927969245
795	0.09269416609
796	0.09256327429
797	0.09242252416
798	0.09227558624
799	0.09217833364
800	0.09201053131
801	0.0918706406
802	0.09170186242
803	0.09158960609
804	0.09143146803
805	0.09123917513
806	0.09109578022
807	0.09091203712
808	0.09081247241
809	0.0907024561
810	0.09063028735
811	0.09050995805
812	0.0903628316
813	0.09024850712
814	0.0900990464
815	0.08996883658
816	0.08986853999
817	0.08975311213
818	0.08964892321
819	0.08957358294
820	0.08945863191
821	0.0893316657
822	0.08924437678
823	0.0891105796
824	0.08898660749
825	0.08883737963
826	0.08876501128
827	0.0886187498
828	0.08848097712
829	0.08842891871
830	0.08828213603
831	0.08812390926
832	0.08801749141
833	0.08793919031
834	0.0878329277
835	0.08771105145
836	0.08756396937
837	0.08739657735
838	0.08729645263
839	0.0871797606
840	0.08703343258
841	0.08691564826
842	0.0867976976
843	0.08668376124
844	0.08660001533
845	0.08647014374
846	0.08633495486
847	0.08627137472
848	0.08614484654
849	0.08602792718
850	0.08595351286
851	0.08587284421
852	0.08568745436
853	0.08552862877
854	0.08539763162
855	0.08530286301
856	0.08518181291
857	0.08508400584
858	0.08502338099
859	0.08487276698
860	0.08472575698
861	0.08461640047
862	0.08449786763
863	0.08443749228
864	0.08432317335
865	0.08416512955
866	0.08400922043
867	0.08394209174
